"N","miss_rate","method","acc_M20","acc_M100","delta"
100,0.1,"AIC_adhoc",33.7022132796781,33.8114754098361,0.109262130157994
100,0.25,"AIC_adhoc",32.5289089994972,33.0412371134021,0.512328113904829
100,0.4,"AIC_adhoc",31.2973245835437,32.0677270395074,0.770402455963772
250,0.1,"AIC_adhoc",56.3755020080321,56.578947368421,0.203445360388919
250,0.25,"AIC_adhoc",55.3553553553553,55.4490413723512,0.0936860169958109
250,0.4,"AIC_adhoc",53.3766883441721,53.4919028340081,0.115214489836013
500,0.1,"AIC_adhoc",67.983991995998,67.967967967968,-0.0160240280300314
500,0.25,"AIC_adhoc",66.7833916958479,66.6666666666667,-0.116725029181268
500,0.4,"AIC_adhoc",64.5322661330665,64.8920140632848,0.359747930218262
1000,0.1,"AIC_adhoc",69.55,70.05,0.5
1000,0.25,"AIC_adhoc",67.85,67.9,0.0500000000000114
1000,0.4,"AIC_adhoc",65.85,66.2,0.350000000000009
100,0.1,"AIC_com",33.6519114688129,33.7602459016393,0.108334432826467
100,0.25,"AIC_com",33.5344394167924,33.659793814433,0.125354397640642
100,0.4,"AIC_com",33.5689045936396,33.7095946639302,0.140690070290646
250,0.1,"AIC_com",58.0823293172691,58.2995951417004,0.217265824431323
250,0.25,"AIC_com",57.957957957958,58.1735620585267,0.215604100568783
250,0.4,"AIC_com",57.9289644822411,58.0971659919028,0.168201509661714
500,0.1,"AIC_com",69.8349174587294,69.8698698698699,0.0349524111405088
500,0.25,"AIC_com",69.8349174587294,69.874686716792,0.0397692580626199
500,0.4,"AIC_com",69.8849424712356,69.9146157709694,0.0296732997337443
1000,0.1,"AIC_com",71.3,71.3,0
1000,0.25,"AIC_com",71.3,71.3,0
1000,0.4,"AIC_com",71.3,71.3,0
100,0.1,"AICcd",33.148893360161,33.452868852459,0.303975492298058
100,0.25,"AICcd",31.3725490196078,32.0103092783505,0.63776025874267
100,0.4,"AICcd",30.3886925795053,30.3745510518214,-0.0141415276838543
250,0.1,"AICcd",56.6767068273092,56.5283400809717,-0.14836674633758
250,0.25,"AICcd",55.9059059059059,56.2563067608476,0.350400854941725
250,0.4,"AICcd",54.8774387193597,55.1619433198381,0.284504600478378
500,0.1,"AICcd",68.9344672336168,68.968968968969,0.0345017353521655
500,0.25,"AICcd",68.4342171085543,68.5714285714286,0.137211462874291
500,0.4,"AICcd",67.583791895948,68.3073832245103,0.723591328562321
1000,0.1,"AICcd",70.2,70.8,0.600000000000009
1000,0.25,"AICcd",70.45,70.1,-0.350000000000009
1000,0.4,"AICcd",69.65,69.6,-0.0500000000000114
100,0.1,"BIC_adhoc",13.9839034205231,14.3954918032787,0.411588382755548
100,0.25,"BIC_adhoc",14.027149321267,14.0721649484536,0.0450156271866398
100,0.4,"BIC_adhoc",14.3866733972741,14.4176500769625,0.0309766796884414
250,0.1,"BIC_adhoc",39.8092369477912,40.334008097166,0.524771149374828
250,0.25,"BIC_adhoc",41.4414414414414,41.2209889001009,-0.220452541340535
250,0.4,"BIC_adhoc",41.0205102551276,41.8522267206478,0.831716465520209
500,0.1,"BIC_adhoc",76.7883941970986,77.2772772772773,0.488883080178724
500,0.25,"BIC_adhoc",75.8379189594798,76.0401002506266,0.202181291146815
500,0.4,"BIC_adhoc",74.8874437218609,74.6358613761929,-0.251582345668069
1000,0.1,"BIC_adhoc",97.8,97.85,0.0500000000000114
1000,0.25,"BIC_adhoc",97.25,97.3,0.0499999999999972
1000,0.4,"BIC_adhoc",96.6,96.45,-0.149999999999991
100,0.1,"BIC_com",13.8329979879276,13.9856557377049,0.152657749777354
100,0.25,"BIC_com",13.7254901960784,13.7628865979381,0.0373964018597128
100,0.4,"BIC_com",13.881877839475,13.5967162647512,-0.285161574723858
250,0.1,"BIC_com",40.4618473895582,40.7388663967611,0.277019007202902
250,0.25,"BIC_com",40.2902902902903,40.5146316851665,0.224341394876205
250,0.4,"BIC_com",40.32016008004,40.587044534413,0.266884454372942
500,0.1,"BIC_com",77.0385192596298,77.0770770770771,0.0385578174472698
500,0.25,"BIC_com",77.0385192596298,77.1428571428572,0.104337883227345
500,0.4,"BIC_com",77.0385192596298,77.197388247112,0.158868987482194
1000,0.1,"BIC_com",97.85,97.85,0
1000,0.25,"BIC_com",97.85,97.85,0
1000,0.4,"BIC_com",97.85,97.85,0
100,0.1,"MI_AIC",33.0482897384306,33.452868852459,0.404579114028436
100,0.25,"MI_AIC",31.2719959778783,31.6494845360825,0.377488558204142
100,0.4,"MI_AIC",30.1362948006058,29.8614674191893,-0.274827381416426
250,0.1,"MI_AIC",56.6767068273092,56.5283400809717,-0.14836674633758
250,0.25,"MI_AIC",55.955955955956,56.2563067608476,0.300350804891671
250,0.4,"MI_AIC",54.9774887443722,55.0607287449393,0.0832400005670877
500,0.1,"MI_AIC",68.7843921960981,68.9189189189189,0.134526722820866
500,0.25,"MI_AIC",68.3341670835418,68.5714285714286,0.237261487886798
500,0.4,"MI_AIC",67.6338169084542,68.2069311903566,0.573114281902377
1000,0.1,"MI_AIC",70.15,70.8,0.649999999999991
1000,0.25,"MI_AIC",70.3,70.1,-0.200000000000003
1000,0.4,"MI_AIC",69.6,69.45,-0.149999999999991
100,0.1,"MI_BIC",13.3802816901408,13.9344262295082,0.554144539367352
100,0.25,"MI_BIC",12.8707893413776,13.0412371134021,0.170447772024488
100,0.4,"MI_BIC",13.1751640585563,12.9810159055926,-0.194148152963676
250,0.1,"MI_BIC",39.3072289156626,39.6761133603239,0.368884444661241
250,0.25,"MI_BIC",40.04004004004,40.4137235116044,0.373683471564398
250,0.4,"MI_BIC",39.4197098549275,39.7773279352227,0.357618080295211
500,0.1,"MI_BIC",76.5882941470735,76.8768768768769,0.288582729803352
500,0.25,"MI_BIC",74.9374687343672,75.187969924812,0.250501190444837
500,0.4,"MI_BIC",73.8369184592296,73.5308890005023,-0.306029458727352
1000,0.1,"MI_BIC",97.85,97.9,0.0499999999999829
1000,0.25,"MI_BIC",97.3,97.4,0.0999999999999943
1000,0.4,"MI_BIC",96.7,96.6,-0.100000000000009
