"n","miss_rate","model","chi2_com","chi2_MI","chi2_D3"
100,0.1,"M1",23.1219551808333,23.2164574670424,23.82773238228
100,0.1,"M10",22.0348442296574,22.1748623315648,22.7415190420784
100,0.1,"M11",56.6407757583158,56.4567903070052,57.1378220326916
100,0.1,"M12",45.2877644015683,45.1760696931891,45.7674948665075
100,0.1,"M2",26.6684843876907,26.6944815883922,27.3418541119264
100,0.1,"M3",29.2820608556391,29.1812457358041,29.8637849531691
100,0.1,"M4",52.8672878347104,52.7623136695093,53.3621466114275
100,0.1,"M5",28.1931386951707,28.1055402755779,28.7517433098544
100,0.1,"M6",22.1171031738853,22.0816612171049,22.6846533791209
100,0.1,"M7",48.4178708927717,51.6101609287629,52.2019071143175
100,0.1,"M8",22.0348442296959,22.1837055691776,22.7508974168666
100,0.1,"M9",21.0136519644646,21.2264653143951,21.7769009272474
100,0.25,"M1",23.1068104608481,23.379453819126,24.9527490063616
100,0.25,"M10",22.0213247829785,22.4835357221595,23.9378421047827
100,0.25,"M11",56.67709195317,56.1836475487687,57.9455439507821
100,0.25,"M12",45.3090308452146,45.0452287922658,46.6048237679706
100,0.25,"M2",26.6377560662884,26.6760301659627,28.3388350686314
100,0.25,"M3",29.2433081529062,28.9985891717932,30.7541608087227
100,0.25,"M4",52.9013934848002,52.6405253325141,54.2086245459075
100,0.25,"M5",28.146788231912,27.9196200451071,29.5806404568525
100,0.25,"M6",22.0946029760715,21.9915990601142,23.5468170643276
100,0.25,"M7",48.3912087136687,50.1470480738821,51.6809097467555
100,0.25,"M8",22.0213247830283,22.4778029795197,23.9299571651303
100,0.25,"M9",20.9935293634534,21.178724357312,22.6009589621419
100,0.4,"M1",23.1087927556157,23.3733158203572,26.012747034532
100,0.4,"M10",22.0262708666172,22.8541489984432,25.280139107928
100,0.4,"M11",56.6896573448967,55.8105703702051,58.7651903996466
100,0.4,"M12",45.3072775264807,44.7360088822465,47.3860371009075
100,0.4,"M2",26.6108831280009,26.4604589844482,29.2323428016677
100,0.4,"M3",29.2189477375513,28.7492666404324,31.6813036389547
100,0.4,"M4",52.8675012302692,52.356633414423,55.0012588643346
100,0.4,"M5",28.1334666516222,27.698414133551,30.4715999118298
100,0.4,"M6",22.1076023528323,21.8915791699871,24.4891608310546
100,0.4,"M7",48.3220746914514,50.1117291756979,52.720388429498
100,0.4,"M8",22.0262708666638,22.8536946902009,25.2745233730549
100,0.4,"M9",21.0084287265954,21.2528332676399,23.6266207625738
250,0.1,"M1",22.7006480533444,22.6440189981005,23.229159260443
250,0.1,"M10",21.6133889694089,21.5675265939505,22.1327256673434
250,0.1,"M11",101.918366621032,101.739447018267,102.382126020325
250,0.1,"M12",75.7561247824127,75.5995359037984,76.1927469728098
250,0.1,"M2",30.0923866595742,29.9976907672086,30.6010287122402
250,0.1,"M3",35.080616555159,34.9867704539827,35.6159829744164
