"N","miss_rate","n_reps","AIC_com","BIC_com","AIC_adhoc","BIC_adhoc","AICcd","MI_AIC","MI_BIC"
100,0.1,1952,33.7602459016393,13.9856557377049,33.8114754098361,14.3954918032787,33.452868852459,33.452868852459,13.9344262295082
100,0.25,1940,33.659793814433,13.7628865979381,33.0412371134021,14.0721649484536,32.0103092783505,31.6494845360825,13.0412371134021
100,0.4,1949,33.7095946639302,13.5967162647512,32.0677270395074,14.4176500769625,30.3745510518214,29.8614674191893,12.9810159055926
250,0.1,1976,58.2995951417004,40.7388663967611,56.578947368421,40.334008097166,56.5283400809717,56.5283400809717,39.6761133603239
250,0.25,1982,58.1735620585267,40.5146316851665,55.4490413723512,41.2209889001009,56.2563067608476,56.2563067608476,40.4137235116044
250,0.4,1976,58.0971659919028,40.587044534413,53.4919028340081,41.8522267206478,55.1619433198381,55.0607287449393,39.7773279352227
500,0.1,1998,69.8698698698699,77.0770770770771,67.967967967968,77.2772772772773,68.968968968969,68.9189189189189,76.8768768768769
500,0.25,1995,69.874686716792,77.1428571428572,66.6666666666667,76.0401002506266,68.5714285714286,68.5714285714286,75.187969924812
500,0.4,1991,69.9146157709694,77.197388247112,64.8920140632848,74.6358613761929,68.3073832245103,68.2069311903566,73.5308890005023
1000,0.1,2000,71.3,97.85,70.05,97.85,70.8,70.8,97.9
1000,0.25,2000,71.3,97.85,67.9,97.3,70.1,70.1,97.4
1000,0.4,2000,71.3,97.85,66.2,96.45,69.6,69.45,96.6
