"M","N","miss_rate","n_reps","mean","sd","cv","q05","q95"
20,100,0.1,1987,0.451375703413374,0.371102280603195,0.822158299165996,0.180714666125889,0.789271292048863
20,100,0.25,1989,1.13983922568915,0.517873350399631,0.454338944237089,0.645634318494981,1.73644559989789
20,100,0.4,1981,1.8618361157853,0.597869806853829,0.321118385117185,1.20094549651429,2.62947712812595
20,250,0.1,1992,0.384918071031579,0.104214940010671,0.270745771253024,0.229387317692436,0.569062163835174
20,250,0.25,1998,0.986145887906226,0.178377401437742,0.180883380061007,0.727064443687083,1.29904368894216
20,250,0.4,1999,1.63258252721508,0.238983615102456,0.1463837883345,1.28212831283383,2.0270295363132
20,500,0.1,1999,0.377964261927352,0.0721555807980324,0.190905829112228,0.264559853134105,0.503609008415662
20,500,0.25,1999,0.970394355318787,0.127683321213588,0.131578796304563,0.773661670611099,1.18704150743735
20,500,0.4,1999,1.59296167712904,0.179778357661988,0.112857930133008,1.30516648782155,1.89790134653587
20,1000,0.1,2000,0.374996614189033,0.0535626437644919,0.142835006338194,0.294166366226667,0.46904490672835
20,1000,0.25,2000,0.960625086628078,0.103332330106284,0.107567803032288,0.80296548436919,1.13781157749758
20,1000,0.4,2000,1.57490910035027,0.147271844812879,0.0935113301333549,1.33198823640821,1.8225600398016
100,100,0.1,1951,0.536774357536993,0.332620052126267,0.619664571259523,0.238313468292686,0.893966712474483
100,100,0.25,1940,1.36301597973214,0.480576093772809,0.352582875710123,0.83467234651082,2.00089825551435
100,100,0.4,1948,2.22946020074458,0.556313456149654,0.249528318991234,1.55298665833032,2.9805964782139
100,250,0.1,1976,0.471006947830606,0.109961561461432,0.233460593241564,0.299491680124437,0.663162304197557
100,250,0.25,1982,1.21456423079842,0.174936899652302,0.144032645797007,0.949828513689515,1.50491898265365
100,250,0.4,1976,2.00255185629966,0.226161012865127,0.11293640769085,1.65359259380968,2.35536997266237
100,500,0.1,1998,0.463815512617211,0.0738654146276613,0.159256024471572,0.346896001263612,0.588781748056026
100,500,0.25,1995,1.19181745860298,0.11831720823559,0.0992746056718102,1.00992900334649,1.3974098610971
100,500,0.4,1991,1.95901529117309,0.151186786719538,0.077174888527289,1.71802126013352,2.21122828409402
100,1000,0.1,2000,0.461718500457592,0.0537127693818494,0.116332287592151,0.378872582888488,0.555180113099138
100,1000,0.25,2000,1.18498009191475,0.0885244013845242,0.0747053912454192,1.04599777611139,1.3348078975192
100,1000,0.4,2000,1.94556922743376,0.113154744589289,0.0581602252922872,1.75846623249921,2.13181797859855
