"empri","n","miss_rate","tr_RIV","T1","se_T1","T2","T3","Total","r_T1","r_T3","n_reps"
"0.1",100,0.2,1.063,0.799,0.084,-0.157,-0.554,0.088,0.752,-0.521,1939
"100",100,0.2,2.672,-14.631,0.122,-1.4,-0.552,-16.582,-5.475,-0.207,1928
"0.1",500,0.2,1.056,-3.565,0.169,-0.017,-0.486,-4.069,-3.375,-0.46,1995
"100",500,0.2,2.508,-75.728,0.276,-3.727,-0.486,-79.941,-30.192,-0.194,1998
"0.1",1000,0.2,1.064,-9.622,0.228,-0.033,-0.47,-10.125,-9.042,-0.442,2000
"100",1000,0.2,2.498,-152.795,0.372,-6.902,-0.47,-160.167,-61.161,-0.188,2000
"0.1",100,0.4,2.168,1.511,0.122,-0.245,-1.165,0.101,0.697,-0.537,1934
"100",100,0.4,4.855,-27.281,0.171,-3.551,-1.16,-31.993,-5.619,-0.239,1910
"0.01",250,0.4,2.023,1.718,0.173,-0.056,-1.032,0.63,0.849,-0.51,1989
"0.1",500,0.4,2.168,-7.705,0.238,-0.051,-1.007,-8.763,-3.554,-0.465,1994
"100",500,0.4,4.595,-141.02,0.361,-12.564,-1.006,-154.591,-30.693,-0.219,1992
"0.1",1000,0.4,2.184,-19.77,0.336,-0.122,-0.987,-20.879,-9.052,-0.452,1998
"100",1000,0.4,4.578,-283.996,0.499,-24.251,-0.987,-309.234,-62.042,-0.216,1999
