"empri","n","miss_rate","trRIV_fiml","T3","se_T3","neg2T3","ratio"
"0.1",100,0.2,140.275,-0.554,0.008,1.108,0.008
"100",100,0.2,15.677,-0.552,0.008,1.104,0.07
"0.1",500,0.2,1.062,-0.486,0.004,0.973,0.915
"100",500,0.2,1.062,-0.486,0.004,0.972,0.915
"0.1",1000,0.2,0.998,-0.47,0.003,0.94,0.942
"100",1000,0.2,0.998,-0.47,0.003,0.94,0.942
"0.1",100,0.4,26.743,-1.165,0.013,2.33,0.087
"100",100,0.4,15.863,-1.16,0.013,2.321,0.146
"0.01_baseline",250,0.4,2.378,-1.032,0.008,2.065,0.868
"0.1",500,0.4,2.123,-1.007,0.007,2.014,0.949
"100",500,0.4,2.123,-1.006,0.007,2.013,0.948
"0.1",1000,0.4,2.028,-0.987,0.006,1.974,0.973
"100",1000,0.4,2.029,-0.987,0.006,1.974,0.973
