"model","df","n_reps","chi2_adhoc.bias","chi2_adhoc.rmse","chi2_MI.bias","chi2_MI.rmse","chi2_D3.bias","chi2_D3.rmse"
"M1",22,1989,5.29,6.36,0.28,3.53,2.83,4.51
"M2",23,1989,5.44,6.7,0.25,3.89,2.88,4.83
"M3",24,1989,5.58,7,0.17,4.19,2.91,5.1
"M4",25,1989,5.7,8.32,0.36,6.1,2.93,6.71
"M5",23,1989,5.3,6.74,0.17,4.13,2.77,4.97
"M6",21,1989,5.02,6.11,0.26,3.45,2.68,4.37
"M7",22,1979,5.24,7.82,2.12,24.39,4.61,24.72
"M8",21,1989,5.15,6.22,0.29,3.47,2.75,4.42
"M9",20,1989,4.88,5.96,0.27,3.4,2.61,4.28
"M10",21,1989,5.15,6.22,0.29,3.47,2.75,4.42
"M11",25,1989,5.98,8.68,0.35,6.3,3.15,7.01
"M12",24,1989,5.57,7.91,0.29,5.7,2.89,6.3
